path,kind,status,bytes,pages,fonts,vs_v12,finding
03-Corporate-Documents/EDM-Capability-Statement.pdf,document,output,604124,19,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;XJHXHJ+Montserrat-Semi-Bold,changed,
03-Corporate-Documents/EDM-Company-Stamp-Corrected-1627658.png,image,live,688095,,,unchanged,
03-Corporate-Documents/EDM-Corporate-Brochure.pdf,document,output,589423,17,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;XJHXHJ+Montserrat-Semi-Bold,changed,
03-Corporate-Documents/EDM-Handover-Standard.pdf,document,output,155848,1,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;XJHXHJ+Montserrat-Semi-Bold,changed,
03-Corporate-Documents/EDM-NOC-Template.docx,document,live,157927,,,unchanged,
04-Stationery/EDM-Business-Card-Christopher-Simon.pdf,document,output,26350,2,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;UTEHVE+Montserrat-Ultra-Bold;XJHXHJ+Montserrat-Semi-Bold,unchanged,
04-Stationery/EDM-Business-Card-Damien-Meenan.pdf,document,output,25711,2,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;UTEHVE+Montserrat-Ultra-Bold;XJHXHJ+Montserrat-Semi-Bold,unchanged,
04-Stationery/EDM-Business-Card-Eddie-Duffy.pdf,document,output,25383,2,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;UTEHVE+Montserrat-Ultra-Bold;XJHXHJ+Montserrat-Semi-Bold,unchanged,
04-Stationery/EDM-Business-Card-Kenny-Buchanan.pdf,document,output,25889,2,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;UTEHVE+Montserrat-Ultra-Bold;XJHXHJ+Montserrat-Semi-Bold,unchanged,
04-Stationery/EDM-Continuation-Sheet.pdf,document,output,8786,1,HQFGZV+Montserrat;UTEHVE+Montserrat-Ultra-Bold,unchanged,
04-Stationery/EDM-Envelope.pdf,document,output,9175,1,HQFGZV+Montserrat;UTEHVE+Montserrat-Ultra-Bold;XJHXHJ+Montserrat-Semi-Bold,unchanged,
04-Stationery/EDM-Invoice.pdf,document,output,20951,1,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;UTEHVE+Montserrat-Ultra-Bold;XJHXHJ+Montserrat-Semi-Bold,unchanged,
04-Stationery/EDM-Letterhead.pdf,document,output,13078,1,HDGQXH+Montserrat-Bold;HQFGZV+Montserrat;UTEHVE+Montserrat-Ultra-Bold;XJHXHJ+Montserrat-Semi-Bold,unchanged,
